ProdID,Name,Brand,Tags,ImageURL,ReviewCount,Rating
19,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs...",OnePlus,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs... OnePlus",/static/images/104.jpg,132,3
33,"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones",SanDisk,"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones SanDisk",/static/images/1054.jpg,2557,2
154,"Syvo WT 3130 Aluminum Tripod (50 Inches), Universal Lightweight Tripod with Mobile Phone Holder Mount & Carry Bag for All ...",Syvo,"Syvo WT 3130 Aluminum Tripod (50 Inches), Universal Lightweight Tripod with Mobile Phone Holder Mount & Carry Bag for All ... Syvo",/static/images/1277.jpg,2937,1
1233,"Hammer Pulse Ace Pro Bluetooth Calling Smartwatch with SpO2 & 1.81” Aluminium Alloy Body with Blood Oxygen Monitoring, Hea...",Hammer,"Hammer Pulse Ace Pro Bluetooth Calling Smartwatch with SpO2 & 1.81” Aluminium Alloy Body with Blood Oxygen Monitoring, Hea... Hammer",/static/images/3313.jpg,1623,4
1367,"Fire-Boltt Ninja 3 1.83"" Display Smartwatch Full Touch with 100+ Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud Bas...",Fire-Boltt,"Fire-Boltt Ninja 3 1.83"" Display Smartwatch Full Touch with 100+ Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud Bas... Fire-Boltt",/static/images/3572.jpg,3667,3
2339,"Nokia 3310 Dual SIM Feature Phone with MP3 Player, Wireless FM Radio and Rear Camera, Dark Blue",Nokia,"Nokia 3310 Dual SIM Feature Phone with MP3 Player, Wireless FM Radio and Rear Camera, Dark Blue Nokia",/static/images/89.jpg,2096,4
1798,OnePlus 108 cm (43 inches) Y Series Full HD Smart Android LED TV 43 Y1S (Black),OnePlus,OnePlus 108 cm (43 inches) Y Series Full HD Smart Android LED TV 43 Y1S (Black) OnePlus,/static/images/4211.jpg,1829,5
907,"Digitek Wireless Microphone System for DSLR, Camcorder, Smartphone & Tablet DWM 101",Digitek,"Digitek Wireless Microphone System for DSLR, Camcorder, Smartphone & Tablet DWM 101 Digitek",/static/images/2517.jpg,756,1
2223,"Boult Audio Bassbuds Loop 2 Wired in Ear Earphones with Mic, 10mm Powerful Driver for Extra Bass with Customizable Ear Loo...",Boult,"Boult Audio Bassbuds Loop 2 Wired in Ear Earphones with Mic, 10mm Powerful Driver for Extra Bass with Customizable Ear Loo... Boult",/static/images/688.jpg,2675,2
237,"Samsung Galaxy Buds Live Bluetooth Truly Wireless in Ear Earbuds with Mic, Upto 21 Hours Playtime, Mystic Black",Samsung,"Samsung Galaxy Buds Live Bluetooth Truly Wireless in Ear Earbuds with Mic, Upto 21 Hours Playtime, Mystic Black Samsung",/static/images/1437.jpg,757,3
